                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.2787,                 3.3052,                 1.5426,                0.63852,                0.21559,                0.21066,                 0.1419,                 1.0819,                 2.4176,                 1.5099,             0.00032727,             0.00032727,             0.00032727
                      2,                 1.1175,                 2.4563,                 1.3825,                0.16243,                 0.5974,                0.20487,                0.13995,                 1.1579,                 2.2035,                 1.6321,             0.00064753,             0.00064753,             0.00064753
                      3,                 1.1296,                  2.258,                 1.3532,                0.46068,                0.39814,                0.19468,                0.13432,                 1.1683,                  2.451,                 1.5454,             0.00095458,             0.00095458,             0.00095458
                      4,                 1.1287,                 2.1442,                 1.3468,                0.48838,                0.37667,                0.20927,                0.14451,                 1.1765,                 2.2186,                 1.5831,              0.0009406,              0.0009406,              0.0009406
                      5,                 1.1075,                 1.9947,                 1.3341,                0.30276,                0.39924,                0.21879,                0.15204,                 1.2744,                  2.033,                 1.5425,              0.0009208,              0.0009208,              0.0009208
                      6,                 1.1004,                 1.8796,                 1.3007,                0.31636,                0.58238,                0.27849,                0.17824,                  1.237,                  2.026,                 1.5631,               0.000901,               0.000901,               0.000901
                      7,                 1.0842,                 1.8129,                 1.3014,                0.47607,                0.39833,                0.35098,                0.24983,                 1.1387,                 1.7569,                 1.5037,              0.0008812,              0.0008812,              0.0008812
                      8,                  1.047,                 1.7233,                 1.2627,                0.17874,                0.56415,                0.27355,                0.18514,                 1.1475,                 1.6642,                 1.5088,              0.0008614,              0.0008614,              0.0008614
                      9,                 1.0144,                 1.6621,                 1.2529,                0.35689,                0.38105,                 0.3026,                0.20557,                 1.1551,                 1.7837,                 1.4824,              0.0008416,              0.0008416,              0.0008416
                     10,                 1.0304,                 1.5983,                 1.2552,                0.22866,                0.59938,                0.36774,                0.24461,                 1.2137,                 1.6089,                  1.503,              0.0008218,              0.0008218,              0.0008218
                     11,                0.99166,                 1.5409,                 1.2219,                0.24353,                0.62266,                0.40902,                0.27705,                 1.1123,                 1.5269,                 1.4659,               0.000802,               0.000802,               0.000802
                     12,                 1.0087,                 1.4765,                 1.2474,                0.62245,                0.53301,                0.45461,                0.29927,                 1.1345,                 1.4552,                 1.4285,              0.0007822,              0.0007822,              0.0007822
                     13,                 1.0005,                 1.4211,                 1.2197,                0.24853,                0.46373,                0.38421,                0.27042,                 1.1186,                 1.6119,                 1.4319,              0.0007624,              0.0007624,              0.0007624
                     14,                0.95566,                 1.3836,                 1.2089,                0.19621,                 0.4215,                0.38085,                0.26493,                 1.1047,                  1.864,                 1.4751,              0.0007426,              0.0007426,              0.0007426
                     15,                0.96009,                 1.3261,                 1.1996,                0.25867,                0.68896,                0.49545,                0.34711,                 1.0528,                 1.3972,                 1.4001,              0.0007228,              0.0007228,              0.0007228
                     16,                0.92714,                 1.3174,                 1.1941,                0.43077,                0.57058,                0.44342,                0.30586,                  1.119,                 1.5912,                 1.4473,               0.000703,               0.000703,               0.000703
                     17,                0.95505,                 1.2542,                 1.1967,                0.33303,                0.47966,                0.47868,                0.32424,                 1.1995,                 1.5276,                 1.5318,              0.0006832,              0.0006832,              0.0006832
                     18,                0.92568,                 1.2405,                 1.1847,                0.51003,                0.46239,                0.46518,                0.32624,                 1.1244,                 1.4457,                 1.4569,              0.0006634,              0.0006634,              0.0006634
                     19,                0.93894,                 1.2205,                 1.1989,                0.38132,                0.51357,                 0.4845,                0.32178,                 1.0747,                 1.4124,                 1.4146,              0.0006436,              0.0006436,              0.0006436
                     20,                 0.8893,                 1.1939,                 1.1661,                0.36304,                0.55715,                0.50198,                0.35931,                  1.094,                 1.3628,                 1.4359,              0.0006238,              0.0006238,              0.0006238
                     21,                0.88668,                 1.1491,                 1.1647,                0.41126,                0.58739,                0.50141,                0.35749,                 1.1053,                 1.2563,                  1.442,               0.000604,               0.000604,               0.000604
                     22,                0.87803,                 1.1332,                 1.1635,                0.40587,                0.53137,                 0.5459,                0.39146,                 1.1183,                 1.3454,                 1.4399,              0.0005842,              0.0005842,              0.0005842
                     23,                0.89066,                  1.095,                 1.1791,                0.39335,                0.63519,                0.56425,                0.40429,                 1.0227,                  1.202,                 1.3782,              0.0005644,              0.0005644,              0.0005644
                     24,                0.88545,                  1.079,                  1.147,                0.42698,                0.61634,                 0.5148,                0.36429,                 1.0549,                 1.3229,                 1.3897,              0.0005446,              0.0005446,              0.0005446
                     25,                  0.844,                 1.0606,                 1.1327,                0.39464,                0.63822,                0.53478,                0.38202,                 1.0508,                 1.2587,                 1.3942,              0.0005248,              0.0005248,              0.0005248
                     26,                0.84624,                 1.0275,                 1.1343,                0.41811,                0.55924,                0.49103,                0.34306,                 1.1089,                 1.5528,                 1.4714,               0.000505,               0.000505,               0.000505
                     27,                0.84032,                 1.0183,                 1.1442,                0.39137,                0.72979,                0.58713,                0.41309,                 1.0701,                 1.1623,                 1.4376,              0.0004852,              0.0004852,              0.0004852
